ID,Name,Description,Media_Type,Download_URL,Path_In_Zip,version,Size,Length,Contribution_ID,Date_Updated
adce9508d66c8126046e5860ce8a8bb0,annotation-notes.pdf,,application/pdf,media/annotation-notes.pdf,,,171207,,,
5e5366943d05f14ca89ff80f6fd28700,image.jpg,,image/jpeg,media/image.jpg,,,83345,,,
146de662cbdff373fbe9af9b198792a0,metadata.pdf,,application/pdf,media/metadata.pdf,,,239328,,,
2b336a76b1fbbad34a68043864c91ea2,translated-texts.pdf,,application/pdf,media/translated-texts.pdf,,,286163,,,
8384a768914ce9264e540206a17acf04,Haig2018_Northern-Kurdish_Kurmanji.pdf,,application/pdf,media/Haig2018_Northern-Kurdish_Kurmanji.pdf,,,1465449,,,
muserz01_mp3,mc_nkurd_muserz01.mp3,,audio/mpeg,media/mc_nkurd_muserz01.mp3,,,19094047,1193.377938,muserz01,
muserz01_wav,mc_nkurd_muserz01.wav,,audio/x-wav,media/mc_nkurd_muserz01.wav,,,52633664,1193.4442630385488,muserz01,
muserz01_eaf,mc_nkurd_muserz01.eaf,,application/eaf+xml,media/mc_nkurd_muserz01.eaf,,,2721765,,muserz01,
muserz01_xml,mc_nkurd_muserz01.xml,,application/xml,media/mc_nkurd_muserz01.xml,,,961677,,muserz01,
muserz01_tsv,mc_nkurd_muserz01.tsv,,text/tab-separated-values,media/mc_nkurd_muserz01.tsv,,,180480,,muserz01,
muserz02_mp3,mc_nkurd_muserz02.mp3,,audio/mpeg,media/mc_nkurd_muserz02.mp3,,,11725009,732.813063,muserz02,
muserz02_wav,mc_nkurd_muserz02.wav,,audio/x-wav,media/mc_nkurd_muserz02.wav,,,129270380,732.8096371882086,muserz02,
muserz02_eaf,mc_nkurd_muserz02.eaf,,application/eaf+xml,media/mc_nkurd_muserz02.eaf,,,1895744,,muserz02,
muserz02_xml,mc_nkurd_muserz02.xml,,application/xml,media/mc_nkurd_muserz02.xml,,,670382,,muserz02,
muserz02_tsv,mc_nkurd_muserz02.tsv,,text/tab-separated-values,media/mc_nkurd_muserz02.tsv,,,125436,,muserz02,
